Signature ;;Object;After;Before
59f1574;;DrmHostStats;1;
59fcc90;;Vmacore::Http::FixedCharBuffer;1;
5577f70;;Vmacore::WriteReadBufferImpl;4;1
59f36b4;;DrmVm;2;
59f6664;;DrmNetHost;1;
59f1994;;DrmDomainStats;1;
4b4e160;;None;1;
557ed74;;Vmacore::Http::HttpConnectionPoolImpl::PendingConnectionRequest;1;
59e1684;;Csi::Notifications::HostStateChange;1;
49e4ab0;;None;1;
55a7b0c;;Vmomi::KeyAnyValue;33;29
556a844;;Vmomi::Primitive<std::string>;24;23
59fbb04;;Vmacore::Http::RequestHeader;1;
3ed2c6c;;None;2;
558cc1c;;Vmacore::System::TCPSocketObjectAsio;11;10
59f3d3c;;DrmGroup;1;
59f01fc;;DrmRebalanceModule;1;
556ec04;;Vmomi::Primitive<int>;37;33
556aeec;;Vmomi::DataArray<Vmomi::KeyAnyValue>;18;17
5584bf0;;None;1;
3e86a80;;None;1;
58ef75c;;Vim::Event::EventEx;28;27
55a352c;;Vmomi::SoapBinding;1;
3e8832c;;None;9;7
59fc824;;Vmacore::Http::ResponseImpl;2;1
59e8edc;;DrmVmdkStats;1;
5597c78;;Vmacore::Http::ClientRequestImpl;2;1
59f6914;;Vmacore::Http::HttpConnection;2;1
59fbc9c;;Vmacore::Http::RequestImpl;1;
59f38bc;;DrmHost;1;
59e8d74;;RecentStatsCache;4;
401a3d4;;None;1;
559628c;;Vmacore::System::MutexImpl;360;352
5592288;;Vmacore::System::ConditionPosix;99;97
558be94;;None;4;3
55960b0;;Vmacore::WeakLinkImpl;37;36
59fcad4;;Vmacore::Http::ResponseHeader;2;1
59f5c2c;;DrmSpi;1;
59dcac8;;Csi::Inventory::Vm;4;2
4983514;;None;2;1
59f37ac;;DrmDomainConfig;1;
59f3f74;;DrmOptions;1;
559ec6c;;Vmomi::MoRef;144;139
5597938;;Vmacore::Http::UserAgentImpl::AsyncSendRequestHelper;2;1
